Time,_date,Load - Residential - space heating,Load - Residential - hot water,Load - Tertiary - space heating,Load - Tertiary - hot water
01/01/2021 00:00,01/01/2050 00:00,215.0638727,8014.79,0.040568886,18.1587
01/01/2021 01:00,01/01/2050 00:00,221.5821289,5173.1,0.045736083,17.1867
01/01/2021 02:00,01/01/2050 00:00,224.6981575,4138.48,0.049336306,16.4261
01/01/2021 03:00,01/01/2050 00:00,228.7971751,2845.21,0.051382778,16.4337
01/01/2021 04:00,01/01/2050 00:00,235.1875146,1293.28,0.052667434,16.5374
01/01/2021 05:00,01/01/2050 00:00,238.8846118,1034.62,0.052612528,17.1581
01/01/2021 06:00,01/01/2050 00:00,242.7261584,775.965,0.050652337,17.7552
01/01/2021 07:00,01/01/2050 00:00,247.2463907,2327.9,0.046865555,18.6756
01/01/2021 08:00,01/01/2050 00:00,226.871289,8276.95,0.038136503,19.8068
01/01/2021 09:00,01/01/2050 00:00,208.2971548,17329.9,0.031429736,21.2734
01/01/2021 10:00,01/01/2050 00:00,187.9363054,27676.1,0.026231038,22.3194
01/01/2021 11:00,01/01/2050 00:00,165.4390128,30004,0.022459248,22.8119
01/01/2021 12:00,01/01/2050 00:00,154.9169383,29228,0.020654325,22.9436
01/01/2021 13:00,01/01/2050 00:00,145.8031864,24830.9,0.019211309,22.7855
01/01/2021 14:00,01/01/2050 00:00,141.6517771,21468.4,0.018342287,22.4273
01/01/2021 15:00,01/01/2050 00:00,145.2461224,15519.3,0.018315571,21.9162
01/01/2021 16:00,01/01/2050 00:00,150.559513,10346.2,0.018479882,21.1603
01/01/2021 17:00,01/01/2050 00:00,158.2287634,8276.95,0.018523502,20.4718
01/01/2021 18:00,01/01/2050 00:00,164.0284904,10346.2,0.018426521,20.1437
01/01/2021 19:00,01/01/2050 00:00,170.6031633,13967.4,0.018702623,20.2157
01/01/2021 20:00,01/01/2050 00:00,178.5730484,14484.7,0.019793253,20.38
01/01/2021 21:00,01/01/2050 00:00,180.533167,13708.7,0.021709549,20.4551
